list;word
A;but
A;and
A;one
A;a
A;the
A;this
A;all
A;every
A;there
A;get 
A;in
A;of 
A;for
A;on
A;at
A;about
A;because 
A;old 
A;if
A;today 
A;from
A;as
A;would 
A;by
A;of
A;out
A;potatoes
A;over
A;after
A;what
A;like
A;have
A;dear 
A;good 
A;think 
A;things 
A;people 
A;money 
A;live
A;shopping 
A;eat
A;great
A;anymore 
A;collect 
A;and 
A;a 
A;when 
A;would 
A;about 
A;with 
A;one 
A;started 
A;loneliness 
A;good
A;full
A;celebrate 
A;up 
A;holiday
A;football 
A;soon 
A;school 
A;now 
A;usually 
A;decided 
A;feast 
A;picture 
A;together 
A;bye 
A;tomorrow 
A;name 
A;drainage 
A;high 
A;level
A;square 
A;dry
A;were 
A;rocks 
A;earth 
A;forest
A;will
A;can
A;could
A;we 
A;you 
A;my 
A;like 
A;school 
A;name 
A;penpal 
A;do 
A;how 
A;was 
A;that 
A;me 
A;but 
A;get 
A;love 
A;reading 
A;with 
A;be 
A;hope 
A;dad 
A;play
A;want 
A;year 
A;math
A;don't 
A;friend 
A;they 
A;very 
A;also 
A;come 
A;family
A;cello
A;middle 
A;write 
A;city 
A;read 
A;then 
A;here 
A;lucky 
A;men 
A;place 
A;vacation
A;teacher 
A;state 
A;time 
A;day 
A;were 
A;soon 
A;parks 
A;them 
A;cant 
A;lots 
A;care 
A;sock 
A;book 
A;soccer 
A;met 
A;arms 
A;park
A;chewing 
A;dog
A;mother 
A;carry 
A;lot
A;afraid 
A;art
A;always 
A;grandpa 
A;to 
A;is 
A;your 
A;dear 
A;there 
A;mat
A;pilgrims 
A;some 
A;fun 
A;eat
A;turkey 
A;pen
A;had 
A;tell 
A;from 
A;corner 
A;corn
A;family 
A;it's 
A;no 
A;could 
A;something 
A;slip 
A;center 
A;know 
A;home 
A;came 
A;pie
A;going 
A;house
A;drive
A;pumpkin 
A;fourth 
A;maybe 
A;couldn't 
A;money 
A;think 
A;her 
A;will 
A;rolls 
A;she 
A;dinner 
A;changes 
A;food
A;stuff 
A;well 
A;big 
A;race
A;glad 
A;end 
A;cute 
A;watch
A;suddenly 
A;of 
A;does 
A;have 
A;about 
A;many 
A;climate 
A;above 
A;sea 
A;buttes 
A;called 
A;would 
A;mall
A;much 
A;state
A;hill
A;years 
A;kind 
A;flow 
A;fall
A;dust 
A;bowl 
A;area 
A;can 
A;grow 
A;found 
A;crops 
A;circles 
A;I 
A;Lincoln 
A;I'm 
A;december 
A;Mrs 
A;november 
A;thanksgiving 
A;christmas 
A;know 
A;Meadow 
A;Lane
A;Nebraska 
A;Lancaster
A;Indians 
A;Indianapolis 
A;thursday 
A;Nebraskas
A;mom 
A;changes
A;things
A;crops
A;beets
A;cars
A;friends
A;how 
A;feet
A;miles
A;falls
A;fields
A;all
A;it
A;she
A;I
A;we
A;they
A;our
A;her
A;their
A;his
A;your
A;one 
A;years 
A;so
A;well
A;just
A;not
A;over 
A;dentists 
A;alot 
A;long
A;ago
A;too
A;fun
A;up
A;out
A;to
A;and 
A;is 
A;doing 
A;favorite 
A;called 
A;home 
A;the 
A;get
A;go
A;be
A;don't
A;rocks 
A;come
A;butte 
A;flow
A;had
A;house 
A;got
A;some 
A;did
A;mix 
A;was
A;put
A;start 
A;china
A;going
A;elevation 
A;now 
A;when 
A;been
A;because 
A;called
A;made 
A;are
A;go
A;fine
A;outside 
A;out 
A;see
A;tell
A;have 
A;hobby 
A;carry
A;love
A;am
A;disadvantage 
A;cranberries 
A;summer 
A;know 
A;when 
A;begin 
A;flat 
A;famous 
A;has
A;it's 
A;coins
A;is
A;yes
A;what
B;I
B;to
B;is
B;you
B;the
B;a
B;it
B;this
B;not
B;yes
B;that
B;my
B;am
B;here
B;and
B;no
B;one
B;going
B;do
B;there
B;want
B;in
B;on
B;have
B;can
B;what
B;will
B;we
B;get
B;some
B;are
B;go
B;me
B;put
B;need
B;up
B;got
B;now
B;he
B;hey
B;of
B;all
B;your
B;come
B;more
B;look
B;okay
B;take
B;make
B;like
B;let
B;be
B;these
B;for
B;out
B;oh
B;two
B;us
B;with
B;down
B;know
B;right
B;see
B;little
B;she
B;they
B;eat
B;big
B;did
B;mine
B;at
B;where
B;paint
B;them
B;Katie
B;off
B;over
B;home
B;play
B;so
B;done
B;just
B;dog
B;how
B;who
B;name
B;chair
B;good
B;house
B;three
B;please
B;those
B;because
B;does
B;too
B;boo
B;but
B;has
B;show
B;sit
B;hat
B;blue
B;her
B;stomp
B;was
B;Aaron
B;back
B;time
B;wash
B;another
B;by
B;Colby
B;then
B;why
B;away
B;give
B;help
B;his
B;again
B;milk
B;water
B;juice
B;our
B;making
B;open
B;or
B;other
B;red
B;room
B;think
B;white
B;yellow
B;green
B;whoa
B;dad
B;doghouse
B;hair
B;hands
B;use
B;way
B;when
B;baby
B;fall
B;stay
B;yet
B;mom
B;noodles
B;watch
B;cracker
B;found
B;four
B;guys
B;hi
B;ones
B;peanut
B;playhouse
B;sand
B;sister
B;spider
B;wants
B;butter
B;car
B;eggs
B;maybe
B;mommy
B;orange
B;stop
B;sure
B;thank
B;boat
B;could
B;cut
B;first
B;fish
B;glue
B;goes
B;light
B;lot
B;lunch
B;shoe
B;something
B;stand
B;tickle
B;train
B;went
B;already
B;ball
B;cat
B;game
B;him
B;made
B;Missy
B;money
B;new
B;real
B;Susie
B;tape
B;tell
B;today
B;top
B;trying
B;whoops
B;cake
B;clean
B;color
B;coming
B;feet
B;food
B;gone
B;had
B;hand
B;having
B;Jamie
B;many
B;move
B;party
B;things
B;wands
B;ate
B;bell
B;black
B;cows
B;farm
B;foot
B;hide
B;legs
B;line
B;middle
B;ready
B;said
B;scissors
B;suppose
B;table
B;try
B;turn
B;almost
B;an
B;any
B;birthday
B;bit
B;Bobby
B;came
B;doing
B;door
B;else
B;fence
B;find
B;fire
B;five
B;girl
C;and
C;but
C;one
C;three
C;two
C;a
C;all
C;no
C;some
C;the
C;these
C;this
C;those
C;there
C;about
C;at
C;because
C;by
C;for
C;if
C;in
C;like
C;love
C;of
C;on
C;out
C;over
C;that
C;thirsty
C;under
C;up
C;with
C;bad
C;big
C;close
C;girl
C;good
C;grandma
C;happy
C;hug
C;hungry
C;know
C;little
C;mine
C;open
C;other
C;peanut butter
C;potty
C;right
C;shoe
C;sick
C;stay
C;stop
C;table
C;toy
C;wanna
C;wash
C;can
C;could
C;will
C;ball
C;bath
C;bathroom
C;bed
C;book
C;boy
C;breakfast
C;brother
C;car
C;cereal
C;chair
C;coat
C;cookie
C;do
C;door
C;drink
C;drive
C;eat
C;eye
C;food
C;friend
C;garage
C;go
C;good bye
C;grandpa
C;guy
C;hand
C;head
C;home
C;hot
C;house
C;hurt
C;inside
C;juice
C;leg
C;look
C;lunch
C;milk
C;mom
C;music
C;okay
C;outside
C;room
C;sad
C;school
C;see
C;sister
C;sit
C;something
C;store
C;story
C;thank you
C;thing
C;time
C;today
C;TV
C;want
C;watch
C;water
C;mad
C;pants
C;people
C;yes
C;he
C;him
C;I
C;it
C;me
C;she
C;them
C;they
C;us
C;we
C;you
C;her
C;his
C;my
C;our
C;their
C;your
C;around
C;away
C;first
C;gonna
C;here
C;just
C;not
C;now
C;so
C;sock
C;then
C;too
C;more
C;back
C;down
C;off
C;to
C;be
C;cat
C;dad
C;dinner
C;dog
C;doll
C;get
C;give
C;help
C;kitchen
C;please
C;ride
C;take
C;work
C;cold
C;did
C;got
C;said
C;shirt
C;was
C;went
C;going
C;baby
C;come
C;done
C;put
C;tired
C;are
C;have
C;make
C;need
C;play
C;read
C;sleep
C;think
C;turn
C;walk
C;does
C;goes
C;has
C;hi
C;is
C;let's
C;what
C;who
C;how
C;when
C;where
C;why
D;five
D;one
D;three
D;two
D;because
D;bye
D;like
D;on
D;over
D;there's
D;through
D;up
D;ant
D;bad
D;big
D;bite
D;black
D;cookie
D;different
D;fly
D;girl
D;good
D;great
D;green
D;hear
D;hi
D;high
D;hot
D;know
D;last
D;long
D;messy
D;middle
D;new
D;next
D;nice
D;ok
D;old
D;open
D;paint
D;name
D;red
D;right
D;saw
D;show
D;shut
D;top
D;used
D;where's
D;need
D;baby
D;ball
D;bathroom
D;bean
D;bed
D;bird
D;blue
D;box
D;boy
D;call
D;candy
D;car
D;catch
D;cause
D;chair
D;corn
D;cup
D;cut
D;day
D;doctor
D;dog
D;door
D;duck
D;eat
D;fall
D;finger
D;fire
D;foot
D;get
D;hair
D;hand
D;hello
D;help
D;hill
D;home
D;horse
D;house
D;huh
D;hum
D;juice
D;jump
D;kind
D;look
D;lot
D;lunch
D;make
D;man
D;mine
D;mom
D;mommy
D;move
D;name
D;oh
D;pick
D;piece
D;play
D;push
D;remember
D;room
D;run
D;side
D;sit
D;stuff
D;tape
D;tell
D;thing
D;time
D;today
D;toys
D;turn
D;wait
D;watch
D;water
D;way
D;whole
D;um
D;name
D;birds
D;bugs
D;girls
D;guys
D;hands
D;people
D;things
D;trees
D;turtles
D;us
D;back
D;bet
D;better
D;even
D;first
D;gonna
D;just
D;little
D;so
D;still
D;more
D;drink
D;here's
D;mean
D;go
D;please
D;ride
D;see
D;stop
D;came
D;found
D;jumped
D;made
D;named
D;said
D;threw
D;went
D;eating
D;getting
D;going
D;jumping
D;looking
D;swing
D;trying
D;come
D;done
D;fixed
D;put
D;wanted
D;ah
D;buy
D;face
D;find
D;give
D;head
D;hold
D;lift
D;pet
D;say
D;try
D;use
D;want
D;comes
D;gets
D;goes
D;leaves
D;ya
D;who
D;and
D;but
D;or
D;all
D;an
D;another
D;any
D;both
D;no
D;some
D;that
D;the
D;these
D;this
D;those
D;there
D;after
D;around
D;as
D;at
D;before
D;by
D;for
D;from
D;if
D;in
D;of
D;than
D;wasn't
D;while
D;with
D;aren't
D;I'm
D;isn't
D;it's
D;let's
D;many
D;much
D;other
D;ready
D;same
D;most
D;can
D;could
D;may
D;must
D;would
D;do
D;everybody
D;everything
D;had
D;inside
D;somebody
D;someone
D;something
D;what's
D;won't
D;ours
D;yours
D;he
D;her
D;him
D;I
D;it
D;me
D;myself
D;she
D;them
D;they
D;we
D;you
D;his
D;my
D;our
D;their
D;your
D;about
D;again
D;almost
D;already
D;also
D;away
D;else
D;here
D;never
D;not
D;only
D;really
D;sometimes
D;somewhere
D;then
D;together
D;too
D;very
D;we're
D;well
D;yet
D;down
D;off
D;out
D;to
D;be
D;can't
D;couldn't
D;didn't
D;doesn't
D;don't
D;maybe
D;they're
D;yes
D;you're
D;did
D;he's
D;let
D;she's
D;was
D;were
D;being
D;doing
D;have
D;haven't
D;are
D;I'll
D;they'll
D;we'll
D;you'll
D;does
D;has
D;is
D;that's
D;there's
D;which
D;what
D;who
D;how
D;when
D;where
D;why
E;I
E;no
E;yes
E;yeah
E;want
E;it
E;that
E;my
E;you
E;more
E;mine
E;the
E;is
E;on
E;in
E;here
E;out
E;off
E;a
E;go
E;what
E;some
E;help
E;all done
E;finished
F;you
F;I
F;the
F;it
F;a
F;no
F;and
F;can
F;that
F;my
F;I'm
F;in
F;this
F;me
F;to
F;one
F;do
F;go
F;on
F;have
F;get
F;what
F;look
F;yeah
F;there
F;we
F;is
F;your
F;don't
F;let's
F;here
F;he
F;gonna
F;not
F;hey
F;it's
F;got
F;are
F;oh
F;put
F;up
F;just
F;can't
F;well
F;I'll
F;that's
F;c'mon
F;um
F;now
F;out
F;big
F;did
F;down
F;of
F;were
F;like
F;where
F;ah
F;be
F;see
F;wanna
F;because
F;know
F;okay
F;them
F;at
F;for
F;yes
F;I've
F;over
F;all
F;play
F;there's
F;off
F;want
F;with
F;come
F;mine
F;need
F;some
F;Spiderman
F;but
F;two
F;him
F;turn
F;you're
F;little
F;he's
F;make
F;back
F;tell
F;they're
F;didn't
F;then
F;dwanna
F;hello
F;our
F;watch
F;how
F;away
F;sit
F;found
F;friend
F;these
F;was
F;yep
F;baby
F;doesn't
F;doing
F;only
F;she
F;they
F;let
F;his
F;spider
F;too
F;mum
F;where's
F;so
F;time
F;more
F;remember
F;what's
F;who
F;why
F;she's
F;does
F;hat
F;woh
F;than
F;yours
F;has
F;ones
F;saw
F;four
F;move
F;run
F;throw
F;coming
F;drink
F;five
F;gotta
F;if
F;leave
F;making
F;yummy
F;goes
F;going
F;mummy
F;other
F;please
F;said
F;stay
F;thing
F;those
F;when
F;will
F;give
F;hah
F;kick
F;push
F;sand
F;say
F;show
F;something
F;wait
F;again
F;bit
F;brother
F;dad
F;done
F;good
F;help
F;her
F;name
F;quick
F;went
F;bigger
F;car
F;eat
F;hole
F;keep
F;nah
F;naughty
F;right
F;way
F;won't
F;apple
F;ball
F;better
F;comes
F;dig
F;isn't
F;shhh
F;take
F;yum
F;cool
F;could
F;house
F;oow
F;seat
F;today
F;very
F;wash
F;around
F;been
F;bottom
F;boys
F;into
F;next
F;open
F;people
F;telling
F;bin
F;book
F;boy
F;else
F;find
F;green
F;home
F;lunch
F;new
F;pick
F;playing
F;roll
F;seven
F;sorry
F;step
F;still
F;teacher's
F;three
F;us
F;who's
F;about
F;aren't
F;broke
F;bye
F;catch
F;fell
F;first
F;had
F;man
F;shoe
F;stuck
F;think
F;am
F;as
F;beautiful
F;bring
F;bum
F;everybody
F;finished
F;funny
F;guys
F;hand
F;head
F;higher
F;jump
F;looks
F;should
F;stop
F;which
F;you'll
G;and
G;I
G;the
G;to
G;a
G;was
G;it
G;he
G;she
G;then
G;got
G;my
G;on
G;went
G;had
G;her
G;in
G;there
G;you
G;but
G;for
G;we
G;that
G;up
G;yes
G;go
G;his
G;out
G;said
G;one
G;dad
G;don't
G;home
G;Anna
G;mum
G;all
G;of
G;at
G;have
G;this
G;with
G;get
G;they
G;when
G;yeah
G;lost
G;no
G;know
G;like
G;policeman
H;and
H;but
H;two
H;one
H;the
H;a
H;all
H;an
H;this
H;some
H;there
H;like
H;in
H;on
H;with
H;of
H;at
H;because
H;over
H;for
H;if
H;that
H;into
H;outside
H;after
H;good
H;big
H;new
H;next
H;last
H;little
H;bird
H;favorite
H;ball
H;nice
H;teacher
H;brown
H;first
H;go
H;want
H;best
H;will
H;can
H;game
H;frog
H;eat
H;miss
H;field
H;cousin
H;friend
H;pool
H;house
H;school
H;home
H;lot
H;water
H;today
H;book
H;day
H;dad
H;jump
H;egg
H;family
H;time
H;trip
H;aunt
H;birthday
H;cats
H;got
H;saw
H;bunny
H;mom
H;love
H;dog
H;rabbit
H;easter
H;Mrs.
H;I'm
H;eggs
H;birds
H;people
H;frogs
H;see
H;friends
H;it
H;I
H;we
H;me
H;you
H;they
H;she
H;he
H;them
H;her
H;my
H;his
H;our
H;back
H;sometimes
H;brother
H;then
H;very
H;not
H;pretty
H;really
H;so
H;too
H;up
H;out
H;to
H;sister
H;get
H;fun
H;be
H;bear
H;gave
H;took
H;bought
H;was
H;came
H;did
H;went
H;said
H;had
H;were
H;put
H;playing
H;going
H;made
H;played
H;cool
H;know
H;play
H;are
H;have
H;am
H;do
H;is
H;has
H;when
I;something
I;peace
I;will
I;hour
I;little
I;need
I;give
I;microphone
I;Miss
I;cool
I;four
I;last
I;stop
I;about
I;huh
I;really
I;seven
I;when
I;who
I;big
I;guy
I;mean
I;over
I;be
I;I
I;it
I;you
I;do
I;a
I;not
I;to
I;the
I;that
I;no
I;and
I;go
I;have
I;what
I;like
I;oh
I;yeah
I;this
I;one
I;my
I;can
I;get
I;we
I;know
I;me
I;in
I;just
I;on
I;so
I;okay
I;ok
I;he
I;of
I;they
I;yes
I;there
I;say
I;here
I;for
I;look
I;hey
I;let
I;she
I;good
I;come
I;want
I;your
I;but
I;because
I;see
I;at
I;make
I;how
I;wait
I;then
I;think
I;with
I;right
I;if
I;up
I;now
I;all
I;two
I;put
I;us
I;alright
I;dude
I;why
I;people
I;out
I;where
I;thing
I;time
I;second
I;record
I;them
I;three
I;tell
I;too
I;talk
I;take
I;minute
I;or
I;play
I;man
I;eat
I;dang
I;more
I;her
I;five
I;first
I;mine
I;pass
I;word
I;god
I;him
I;these
I;well
I;back
I;our
I;shall
I;only
I;some
I;hi
I;bad
I;open
I;try
I;find
I;actually
I;down
I;wish
I;use
I;sorry
I;thank
I;night
I;call
I;rhombus
I;lunch
I;from
I;off
I;hello
I;thirty
I;eight
I;fish
I;hell
I;mom
I;much
I;nine
I;ball
I;polygon
I;sign
I;girl
I;shoot
I;hand
I;book
I;day
I;into
I;sit
I;still
I;read
I;triangle
I;kind
I;Mr
I;school
I;twenty
I;awesome
I;those
I;voice
I;other
I;name
I;sure
I;feel
I;hard
I;run
I;ten
I;please
I;suck
I;homie
I;stick
I;watch
I;class
I;next
I;stay
I;twelve
I;bro
I;show
I;six
I;very
I;way
I;probably
I;crack
I;again
I;move
I;start
I;walk
I;pocket
I;already
I;as
I;ask
I;christmas
I;funny
I;hold
I;draw
I;goal
I;juice
I;poo
I;baby
I;even
I;name
I;never
I;recorder
I;wash
I;win
I;bit
I;today
I;lot
I;forget
I;keep
I;kid
I;may
I;hear
I;help
I;animal
I;stuff
I;his
I;work
I;Ms
I;year
I;cappuccino
I;friend
I;care
I;fun
I;food
I;line
I;pretty
I;cook
I;excuse
I;home
I;hot
I;lose
I;new
I;potato
I;touch
I;damn
I;dollar
I;hit
I;hundred
I;kitchen
I;nice
I;hate
I;long
I;square
I;any
I;anything
I;same
I;yours
I;always
I;guess
I;maybe
I;most
I;than
I;after
I;someone
I;weird
I;jacket
I;leave
I;side
I;press
I;small
I;trapezoid
I;um
I;ah
I;clock
I;dumb
I;ever
I;hexagon
I;many
I;real
I;serve
I;taste
I;bring
I;love
I;remember
I;write
I;boy
I;rectangle
I;game
I;grade
I;nothing
I;zookeeper
I;old
I;somebody
I;their
I;away
I;catch
I;cut
I;water
I;whatever
I;bell
I;blood
I;bye
I;Chinese
I;frog
I;half
I;Mrs
I;narrow
I;red
I;smash
I;wear
I;wow
I;wrong
I;pick
I;rotten
I;another
I;table
I;dad
I;easy
I;everything
I;sun
I;by
I;happen
I;movie
I;parallelogram
I;suppose
I;around
I;number
I;push
I;bagel
I;break
I;close
I;face
I;finish
I;meat
I;sauce
I;sixty
I;turn
I;chips
I;cold
I;cry
I;drama
I;eleven
I;else
I;sing
I;almost
I;bear
I;jingle
I;ready
I;happy
I;morning
I;recording
I;song
I;throw
I;which
I;level
I;point
I;shape
I;everyone
I;eye
I;fast
I;father
I;fifteen
I;Germany
I;gum
I;heck
I;kick
I;laugh
I;listen
I;mess
I;outside
I;punch
I;whole
I;die
I;fall
I;fine
I;glue
I;sister
I;thirteen
I;apple
I;ass
I;basketball
I;beat
I;bing
I;cheese
I;English
I;flat
I;fuck
I;homework
I;paper
I;rock
I;teacher
I;Thai
I;yesterday